"COMMON_NAME","SPECIES_NAME","Count","Comment"
"sea star unid.","Asteroidea",1,"Voucher"
"","Calcigorgia spiculifera",,"Voucher"
"Atka mackerel","Pleurogrammus monopterygius",46,"Age Sample"
"Dover sole","Microstomus pacificus",36,"Age Sample"
"Pacific cod","Gadus macrocephalus",337,"Age Sample"
"Pacific ocean perch","Sebastes alutus",51,"Age Sample"
"arrowtooth flounder","Atheresthes stomias",198,"Age Sample"
"blackspotted rockfish","Sebastes melanostictus",12,"Age Sample"
"dusky rockfish","Sebastes variabilis",11,"Age Sample"
"flathead sole","Hippoglossoides elassodon",135,"Age Sample"
"northern rock sole","Lepidopsetta polyxystra",203,"Age Sample"
"northern rockfish","Sebastes polyspinis",15,"Age Sample"
"rex sole","Glyptocephalus zachirus",99,"Age Sample"
"rougheye rockfish","Sebastes aleutianus",48,"Age Sample"
"sablefish","Anoplopoma fimbria",49,"Age Sample"
"shortraker rockfish","Sebastes borealis",3,"Age Sample"
"silvergray rockfish","Sebastes brevispinis",4,"Age Sample"
"southern rock sole","Lepidopsetta bilineata",183,"Age Sample"
"walleye pollock","Gadus chalcogrammus",436,"Age Sample"
